catalog_id,name,biopsy_id,sample_id,sample_lookup_name,source_group,model1_rank,model1_score,model1_evidence,model1_mature_date,model1_immature_date,model1_older_than_count,model1_younger_than_count,model1_basis,model2_rank,model2_score,model2_evidence,model2_mature_date,model2_immature_date,model2_older_than_count,model2_younger_than_count,model2_basis,model3_rank,model3_score,model3_evidence,model3_mature_date,model3_immature_date,model3_older_than_count,model3_younger_than_count,model3_basis,model3_birth_year_anchor_date,model3_immature_plus_15_mature_date,model3_last_evidence_date,rank_change_model1_to_model2,movement_model1_to_model2,rank_change_model2_to_model3,movement_model2_to_model3,rank_change_model1_to_model3,movement_model1_to_model3,current_view_rank,rank_note
715,Jolene MP264,86,,,HAMER,9,0,none,,,0,0,,23,0,none,,,0,0,,23,0,none,,,0,0,,,,2024-05-08,-14,Moved younger/lower,0,No rank change,-14,Moved younger/lower,60,No Model 3 pairwise ordering evidence; tied by unresolved score.
709,Lee Ray MP214,74,,,HAMER,9,0,none,,,0,0,,23,0,none,,,0,0,,23,0,none,,,0,0,,,,2017-08-06,-14,Moved younger/lower,0,No rank change,-14,Moved younger/lower,74,No Model 3 pairwise ordering evidence; tied by unresolved score.
717,Obama Ray MP267,87,,,HAMER,9,0,none,,,0,0,,23,0,none,,,0,0,,23,0,none,,,0,0,,,,2023-08-16,-14,Moved younger/lower,0,No rank change,-14,Moved younger/lower,64,No Model 3 pairwise ordering evidence; tied by unresolved score.
710,Winona MP215 Cat77,71,BI_K54,Winona,HAMER,9,0,none,,,0,0,,23,0,none,,,0,0,,23,0,none,,,0,0,,,,2017-09-29,-14,Moved younger/lower,0,No rank change,-14,Moved younger/lower,74,No Model 3 pairwise ordering evidence; tied by unresolved score.
1024,Jay Ray,1026,BI125,Jay,MPRF,9,0,mature,2022-09-05,,0,0,>15 years MPRF resight history,31,-1,mature_and_immature,2022-09-05,2007-09-05,1,2,MPRF provided age class immature; >15 years MPRF resight history,31,-1,mature_and_immature,2022-09-05,2007-09-05,1,2,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2022-09-05,2024-09-05,-22,Moved younger/lower,0,No rank change,-22,Moved younger/lower,13,
697,Blain MP135 Cat70,1041,BI140,Blain,MPRF,9,0,mature,2022-12-01,,0,0,>15 years MPRF resight history,32,-2,mature_and_immature,2022-12-01,2007-12-01,0,2,MPRF provided age class immature; >15 years MPRF resight history,32,-2,mature_and_immature,2022-12-01,2007-12-01,0,2,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2022-12-01,2024-12-01,-23,Moved younger/lower,0,No rank change,-23,Moved younger/lower,30,
708,Ho Ray MP130 Cat51,1033,BI132,Ho Ray,MPRF,9,0,mature,2022-10-31,,0,0,>15 years MPRF resight history,32,-2,mature_and_immature,2022-10-31,2007-10-31,0,2,MPRF provided age class immature; >15 years MPRF resight history,32,-2,mature_and_immature,2022-10-31,2007-10-31,0,2,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2022-10-31,2023-10-31,-23,Moved younger/lower,0,No rank change,-23,Moved younger/lower,32,
949,Capt Mike,1057,BI156,Capt. Mike,MPRF,9,0,mature,2023-09-16,,0,0,>15 years MPRF resight history,34,-3,mature_and_immature,2023-09-16,2008-09-16,0,3,MPRF provided age class immature; >15 years MPRF resight history,34,-3,mature_and_immature,2023-09-16,2008-09-16,0,3,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2023-09-16,2024-09-16,-25,Moved younger/lower,0,No rank change,-25,Moved younger/lower,16,
969,Delaney,1062,BI161,Delaney,MPRF,9,0,mature,2023-08-18,,0,0,>15 years MPRF resight history,34,-3,mature_and_immature,2023-08-18,2008-08-18,0,3,MPRF provided age class immature; >15 years MPRF resight history,34,-3,mature_and_immature,2023-08-18,2008-08-18,0,3,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2023-08-18,2024-08-18,-25,Moved younger/lower,0,No rank change,-25,Moved younger/lower,21,
686,Emma MP139 Cat60,1058,BI157,Emma,MPRF,9,0,mature,2023-06-26,,0,0,>15 years MPRF resight history,34,-3,mature_and_immature,2023-06-26,2008-06-26,0,3,MPRF provided age class immature; >15 years MPRF resight history,34,-3,mature_and_immature,2023-06-26,2008-06-26,0,3,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2023-06-26,2024-06-26,-25,Moved younger/lower,0,No rank change,-25,Moved younger/lower,44,
