catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref
113,762,971,6083,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/971/971.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6083/6083.jpg,0.8727104067802429
131,838,1060,6181,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1060/1060.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6181/6181.jpg,0.8711178302764893
8,911,1199,6343,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1199/1199.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6343/6343.jpg,0.8635662198066711
254,25,24,6279,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/24/24.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6279/6279.jpg,0.8609023094177246
213,458,560,6393,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/560/560.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6393/6393.jpg,0.8600738048553467
185,921,1209,6328,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1209/1209.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6328/6328.jpg,0.8520265817642212
57,107,122,6023,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/122/122.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6023/6023.jpg,0.851830005645752
251,556,702,6233,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/702/702.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6233/6233.jpg,0.8413993120193481
31,454,549,6290,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/549/549.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6290/6290.jpg,0.8397504091262817
115,212,243,6227,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/243/243.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6227/6227.jpg,0.8392871618270874
180,843,1068,6265,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1068/1068.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6265/6265.jpg,0.8388757705688477
76,359,417,6340,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/417/417.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6340/6340.jpg,0.8381909132003784
13,139,159,6112,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/159/159.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6112/6112.jpg,0.8375294804573059
173,143,165,6032,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/165/165.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6032/6032.jpg,0.8347326517105103
29,780,992,6363,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/992/992.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6363/6363.jpg,0.8339228630065918
61,74,77,6182,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/77/77.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6182/6182.jpg,0.8333646059036255
194,680,886,6151,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/886/886.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6151/6151.jpg,0.8317419290542603
34,483,590,6289,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/590/590.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6289/6289.jpg,0.8305960893630981
253,774,983,6229,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/983/983.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6229/6229.jpg,0.829677939414978
268,727,934,6255,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/934/934.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6255/6255.jpg,0.8289039134979248
95,975,1302,6310,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1302/1302.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6310/6310.jpg,0.824979305267334
3,201,231,6213,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/231/231.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6213/6213.jpg,0.8232822418212891
189,610,781,6323,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/781/781.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6323/6323.jpg,0.8223653435707092
91,759,968,6090,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/968/968.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6090/6090.jpg,0.8216638565063477
264,749,958,6231,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/958/958.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6231/6231.jpg,0.821179211139679
190,644,822,6098,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/822/822.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6098/6098.jpg,0.8195346593856812
22,754,963,6084,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/963/963.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6084/6084.jpg,0.8179265856742859
73,283,331,6407,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/331/331.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6407/6407.jpg,0.8170984983444214
263,353,410,6335,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/410/410.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6335/6335.jpg,0.8170436024665833
267,614,786,6379,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/786/786.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6379/6379.jpg,0.8153287172317505
6,471,576,6114,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/576/576.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6114/6114.jpg,0.8125132322311401
211,652,842,6009,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/842/842.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6009/6009.jpg,0.8092937469482422
114,393,459,6096,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/459/459.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6096/6096.jpg,0.8087108135223389
30,739,947,6085,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/947/947.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6085/6085.jpg,0.8076683282852173
242,103,117,6172,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/117/117.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6172/6172.jpg,0.8074185252189636
24,341,395,6074,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/395/395.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6074/6074.jpg,0.8034112453460693
37,518,641,6059,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/641/641.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6059/6059.jpg,0.8033512830734253
266,902,1182,6316,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1182/1182.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6316/6316.jpg,0.8026072978973389
255,125,142,6372,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/142/142.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6372/6372.jpg,0.8021150827407837
249,512,629,6386,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/629/629.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6386/6386.jpg,0.8019839525222778
260,196,223,6410,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/223/223.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6410/6410.jpg,0.8019359111785889
283,95,105,6216,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/105/105.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6216/6216.jpg,0.801720380783081
221,802,1011,6324,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1011/1011.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6324/6324.jpg,0.8003244400024414
192,769,978,6313,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/978/978.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6313/6313.jpg,0.7998437285423279
152,677,879,6020,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/879/879.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6020/6020.jpg,0.799518883228302
9,974,1300,6294,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1300/1300.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6294/6294.jpg,0.7912464141845703
184,478,584,6161,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/584/584.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6161/6161.jpg,0.7906494140625
