catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref,kp1,kp2,good,inliers_ref,inlier_ratio_ref,best_other_inliers,best_other_ratio,margin_inliers,margin_ratio
190,644,822,6098,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/822/822.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6098/6098.jpg,0.8195346593856812,776,580,356,333,0.9353932584269663,9,0.5,324,0.4353932584269663
234,881,1136,6051,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1136/1136.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6051/6051.jpg,0.7287487387657166,1007,752,344,333,0.9680232558139535,17,0.48148148148148145,316,0.4865417743324721
282,354,411,6360,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/411/411.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6360/6360.jpg,0.9169781804084778,523,546,349,338,0.9684813753581661,23,0.6923076923076923,315,0.27617368305047385
173,143,165,6032,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/165/165.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6032/6032.jpg,0.8347326517105103,630,635,335,313,0.9343283582089552,9,0.5,304,0.4343283582089552
205,46,45,6331,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/45/45.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6331/6331.jpg,1.0,292,292,292,292,1.0,6,0.5454545454545454,286,0.4545454545454546
82,521,644,6039,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/644/644.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6039/6039.jpg,0.9222425222396852,552,482,295,281,0.9525423728813559,10,0.5,271,0.4525423728813559
111,719,927,180,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/927/927.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/180/180.jpg,1.0,297,297,297,297,1.0,27,0.574468085106383,270,0.42553191489361697
65,128,145,6208,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/145/145.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6208/6208.jpg,0.8737362027168274,1738,549,289,278,0.9619377162629758,11,0.6666666666666666,267,0.2952710495963091
78,852,1082,6220,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1082/1082.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6220/6220.jpg,0.6803587675094604,955,569,284,277,0.9753521126760564,21,0.7142857142857143,256,0.26106639839034207
283,95,105,6216,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/105/105.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6216/6216.jpg,0.801720380783081,917,585,288,272,0.9444444444444444,16,0.42857142857142855,256,0.5158730158730158
