catalog_id,hamer_name,normalized_name,species,gender,age_class,first_sighting,last_sighting,last_size_m,total_sightings,total_sizes,total_biopsies,mprf,populations,islands,sitelocation,image_link,best_catalog_ventral_thumb_url,best_catalog_ventral_path,best_catalog_photo_url
803,TR1Pelagic,TR1PELAGIC,mobula birostris,Unknown,Unknown,2020-09-30,2020-09-30,,1,0,0,,Kauai,Kauai,Fathom Rock,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6679/6679.jpg,photos/6679/6679.jpg,
827,Pelagic Maui,PELAGIC MAUI,mobula birostris,Female,Unknown,2021-12-15,2021-12-15,,1,0,0,,Maui Nui,Maui,Lahaina,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6788/6788.jpg,photos/6788/6788.jpg,
847,ML1 Mel,ML1 MEL,mobula birostris,Unknown,Unknown,2022-04-26,2022-04-26,,1,0,0,,Oahu,Oahu,Horeshoe Reef Waikiki,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6835/6835.jpg,photos/6835/6835.jpg,
855,TC1 MA,TC1 MA,mobula birostris,Female,Unknown,2017-07-18,2017-07-18,,1,0,0,,Oahu,Oahu,Makaha,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6978/6978.jpg,photos/6978/6978.jpg,
862,862 - birostris,862 - BIROSTRIS,mobula birostris,Unknown,Unknown,2022-08-30,2022-08-30,,1,0,0,,Oahu,Oahu,Kea'au Beach Park,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6997/6997.jpg,photos/6997/6997.jpg,
864,VF1_birostris,VF1_BIROSTRIS,mobula birostris,Unknown,Unknown,2022-11-10,2022-11-10,,1,0,0,,Oahu,Oahu,Makaha,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7010/7010.jpg,photos/7010/7010.jpg,
884,OceanicTatiMartinez,OCEANICTATIMARTINEZ,mobula birostris,Female,Unknown,2025-11-11,2025-11-11,,1,0,0,,,,,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7214/7214.jpg,photos/7214/7214.jpg,
888,LM1 Pelagic,LM1 PELAGIC,mobula birostris,Female,Unknown,2023-10-16,2023-10-16,,1,0,0,,Oahu,Oahu,Makaha,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7238/7238.jpg,photos/7238/7238.jpg,
891,GL1 Pelagic,GL1 PELAGIC,mobula birostris,Unknown,Unknown,2023-11-04,2023-11-04,,1,0,0,,Oahu,Oahu,Halona Beach Cove,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7244/7244.jpg,photos/7244/7244.jpg,
902,RTElectricPelagic,RTELECTRICPELAGIC,mobula birostris,Unknown,Unknown,2024-04-10,2024-04-10,,1,0,0,,Oahu,Oahu,Electric Beach,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7390/7390.jpg,photos/7390/7390.jpg,
978,'Ele'ele Ka'ohe,'ELE'ELE KA'OHE,mobula birostris,,,,,,0,0,0,,,,,,,,
1018,Jacqueline,JACQUELINE,mobula birostris,,,,,,0,0,0,,,,,,,,
