catalog_id,name,normalized_name,species,gender,age_class,first_sighting,last_sighting,last_size_m,total_sightings,total_sizes,total_biopsies,mprf,populations,islands,sitelocation,image_link,best_catalog_ventral_thumb_url,best_catalog_ventral_path,best_catalog_photo_url,hamer_name_raw,mprf_name_raw,mprf_example_date,mprf_example_location,mprf_example_location,mprf_id_1,mprf_id_1,mprf_id_2
1038,Kaia Ray,KAIA RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Kaia Ray,Kaia Ray,2014-06-28 00:00:00,Garden Eel Cove,1,220,0,1
1058,Khloe Lochs,KHLOE LOCHS,mobula birostris,,,,,,0,0,0,,,,,,,,,Khloe Lochs,Khloe Lochs,2020-06-23 00:00:00,N end of Papa Bay (nr Milolii),1,303,0,1
1059,Kikola,KIKOLA,mobula birostris,,,,,,0,0,0,,,,,,,,,Kikola,Kikola,2003-09-06 00:00:00,,0,76,0,1
1060,Kiwami Ray,KIWAMI RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Kiwami Ray,Kiwami Ray,2014-06-28 00:00:00,Garden Eel Cove,1,221,0,1
1069,La Reina,LA REINA,mobula birostris,,,,,,0,0,0,,,,,,,,,La Reina,La Reina,2005-07-09 00:00:00,Garden Eel Cove,1,93,0,1
1076,Lilo Maluhia,LILO MALUHIA,mobula birostris,,,,,,0,0,0,,,,,,,,,Lilo Maluhia,Lilo Maluhia,2020-10-22 00:00:00,,0,309,0,1
1079,Lisa-Ann,LISA-ANN,mobula birostris,,,,,,0,0,0,,,,,,,,,Lisa-Ann,Lisa-Ann,2018-03-25 00:00:00,Pawai Washrock,1,273,0,1
1086,Lupe Ray,LUPE RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Lupe Ray,Lupe Ray,2003-06-03 00:00:00,Off 3 Room Cave,1,77,0,1
1090,Mahon Manta,MAHON MANTA,mobula birostris,,,,,,0,0,0,,,,,,,,,Mahon Manta,Mahon Manta,1998-07-12 00:00:00,Hoovers Pinnacle,1,52,0,1
1093,Malasky Ray,MALASKY RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Malasky Ray,Malasky Ray,2007-07-03 00:00:00,Kaiwi Point,1,119,0,1
1094,Malie Grace,MALIE GRACE,mobula birostris,,,,,,0,0,0,,,,,,,,,Malie Grace,Malie Grace,2020-10-14 00:00:00,,0,308,0,1
1097,Manny,MANNY,mobula birostris,,,,,,0,0,0,,,,,,,,,Manny,Manny,2020-06-09 00:00:00,Pipe Dreams,1,302,0,1
1098,Man-Ta,MAN-TA,mobula birostris,,,,,,0,0,0,,,,,,,,,Man-Ta,Man-Ta,2022-10-13 00:00:00,~500m off Hokulia / Driftwood site,1,331,0,1
1100,Manta Claus,MANTA CLAUS,mobula birostris,,,,,,0,0,0,,,,,,,,,Manta Claus,Manta Claus,2017-12-27 00:00:00,Surface Feeding in current line,0,281,0,1
1103,Manta's Little Helper,MANTA'S LITTLE HELPER,mobula birostris,,,,,,0,0,0,,,,,,,,,Manta's Little Helper,Manta's Little Helper,2018-08-15 00:00:00,1/4 mi off Keahole Pt,1,286,0,1
1105,Markie,MARKIE,mobula birostris,,,,,,0,0,0,,,,,,,,,Markie,Markie,2021-12-28 00:00:00,Kohanaiki,1,324,0,1
1107,Martina,MARTINA,mobula birostris,,,,,,0,0,0,,,,,,,,,Martina,Martina,2004-10-01 00:00:00,2 miles off Keauhou,1,89,0,1
1110,Meeteetsee,MEETEETSEE,mobula birostris,,,,,,0,0,0,,,,,,,,,Meeteetsee,Meeteetsee,2021-05-09 00:00:00,Just out and north of Kealakekua Bay,1,318,0,1
1112,Melissa Ray,MELISSA RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Melissa Ray,Melissa Ray,2015-02-06 00:00:00,Kaiwi Point,1,237,0,1
1120,Mindy,MINDY,mobula birostris,,,,,,0,0,0,,,,,,,,,Mindy,Mindy,2020-07-24 00:00:00,"Off the S end of Pebble Beach, just offshore at 65'",1,305,0,1
1121,Minoru Ray,MINORU RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Minoru Ray,Minoru Ray,2014-07-04 00:00:00,1/4 mi off Parrot's Cove,0,222,0,1
1122,Mirabella,MIRABELLA,mobula birostris,,,,,,0,0,0,,,,,,,,,Mirabella,Mirabella,2019-01-21 00:00:00,1/2 mi off Kua Bay,1,284,0,1
1125,Mr. T,MR. T,mobula birostris,,,,,,0,0,0,,,,,,,,,Mr. T,Mr. T,2012-03-21 00:00:00,Just S of Green Can,1,201,0,1
1126,Murphy,MURPHY,mobula birostris,,,,,,0,0,0,,,,,,,,,Murphy,Murphy,2007-08-05 00:00:00,Kaiwi Point,1,124,0,1
1127,Mylene,MYLENE,mobula birostris,,,,,,0,0,0,,,,,,,,,Mylene,Mylene,2016-02-14 00:00:00,Rabbi's Reef drop off,1,254,0,1
1128,Nae Nae,NAE NAE,mobula birostris,,,,,,0,0,0,,,,,,,,,Nae Nae,Nae Nae,2020-06-25 00:00:00,,0,316,0,1
1129,Netti Ray,NETTI RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Netti Ray,Netti Ray,2007-11-16 00:00:00,Black Hole (N Makako Bay),1,132,0,1
1139,Parker,PARKER,mobula birostris,,,,,,0,0,0,,,,,,,,,Parker,Parker,2022-06-17 00:00:00,"Papa Bay, ~3 miles offshore",1,327,0,1
1140,Patrice,PATRICE,mobula birostris,,,,,,0,0,0,,,,,,,,,Patrice,Patrice,1999-01-01 00:00:00,,0,50,0,1
1142,Precious,PRECIOUS,mobula birostris,,,,,,0,0,0,,,,,,,,,Precious,Precious,2019-08-04 00:00:00,Off Lyman's,1,290,0,1
1149,Rami Ray,RAMI RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Rami Ray,Rami Ray,2011-10-31 00:00:00,Just N of GEC,1,193,0,1
1152,Ray Of Hope,RAY OF HOPE,mobula birostris,,,,,,0,0,0,,,,,,,,,Ray Of Hope,Ray of Hope,2015-04-30 00:00:00,Bay N of Kealakekua Bay,1,242,0,1
1153,Rayven,RAYVEN,mobula birostris,,,,,,0,0,0,,,,,,,,,Rayven,Rayven,2011-09-10 00:00:00,Garden Eel Cove,1,189,0,1
1176,Sarah,SARAH,mobula birostris,,,,,,0,0,0,,,,,,,,,Sarah,Sarah,2007-06-09 00:00:00,Golden Arches,1,116,0,1
1177,Sari,SARI,mobula birostris,,,,,,0,0,0,,,,,,,,,Sari,Sari,2007-08-03 00:00:00,Shark Ledge,0,123,0,1
1179,Sephie,SEPHIE,mobula birostris,,,,,,0,0,0,,,,,,,,,Sephie,Sephie,2007-07-17 00:00:00,Never Never Land dive site,1,120,0,1
1184,Sid,SID,mobula birostris,,,,,,0,0,0,,,,,,,,,Sid,Sid,2007-08-14 00:00:00,Kona Paradise,1,126,0,1
1190,St James,ST JAMES,mobula birostris,,,,,,0,0,0,,,,,,,,,St James,St James,2004-10-01 00:00:00,2 miles off Keauhou,1,90,0,1
1199,Tek Ray,TEK RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Tek Ray,Tek Ray,2006-06-01 00:00:00,Nr 3 Room Cave,1,115,0,1
1202,Testa Ray,TESTA RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Testa Ray,Testa Ray,2014-03-10 00:00:00,Aquarium,1,216,0,1
1203,Thumper,THUMPER,mobula birostris,,,,,,0,0,0,,,,,,,,,Thumper,Thumper,2003-06-13 00:00:00,Sand Chutes (S Makako Bay),1,105,0,1
1207,Tommy Ray,TOMMY RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Tommy Ray,Tommy Ray,2006-08-26 00:00:00,Paradise Pinnacle,1,143,0,1
1213,Tuxedo Ray,TUXEDO RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Tuxedo Ray,Tuxedo Ray,1999-01-01 00:00:00,,0,53,0,1
1220,Victory,VICTORY,mobula birostris,,,,,,0,0,0,,,,,,,,,Victory,Victory,2009-04-27 00:00:00,Paradise Pinnacle,1,162,0,1
1224,Wander Ray,WANDER RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Wander Ray,Wander Ray,2017-03-28 00:00:00,Off Kohanaiki,1,263,0,1
1225,Weiss Ray,WEISS RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Weiss Ray,Weiss Ray,2000-05-01 00:00:00,,0,55,0,1
1227,Wesley,WESLEY,mobula birostris,,,,,,0,0,0,,,,,,,,,Wesley,Wesley,2017-01-01 00:00:00,Au Au Crater,1,306,0,1
1234,Xuan,XUAN,mobula birostris,,,,,,0,0,0,,,,,,,,,Xuan,Xuan,2014-12-26 00:00:00,Betw. Golden Arches & Wacky's,1,235,0,1
1235,Yosie,YOSIE,mobula birostris,,,,,,0,0,0,,,,,,,,,Yosie,Yosie,2022-03-22 00:00:00,Pyramid Pinnacles,1,326,0,1
1239,Zephyr,ZEPHYR,mobula birostris,,,,,,0,0,0,,,,,,,,,Zephyr,Zephyr,2022-11-11 00:00:00,Devil's Doorway,1,332,0,1
