output_filename,pk_catalog_id,gender,age_class,population,storage_path,photo_uuid,fk_catalog_id,pk_photo_id
510_Unknown_Unknown_Maui-Nui.jpg,510,Unknown,Unknown,Maui-Nui,photos-4933-4933.jpg,477722c9-7d55-4fc8-b415-b6f86fb430a6,510,4933
512_Male_Juvenile_Maui-Nui.jpg,512,Male,Juvenile,Maui-Nui,photos-4936-4936.jpg,98300f00-be09-4d9b-8659-7c692237565b,512,4936
513_Male_Juvenile_Maui-Nui.jpg,513,Male,Juvenile,Maui-Nui,photos-4938-4938.jpg,c6fa058c-3470-40ec-8d8a-85e859b862ca,513,4938
514_Male_Juvenile_Maui-Nui.jpg,514,Male,Juvenile,Maui-Nui,photos-4942-4942.jpg,0c47b452-2cbe-4b51-af6c-c03f1ad4f185,514,4942
529_Female_Unknown_Maui-Nui.jpg,529,Female,Unknown,Maui-Nui,photos-4978-4978.jpg,391f0ed9-5bce-4e8a-a53e-da6d49d0df3f,529,4978
532_Male_Adult_Maui-Nui.jpg,532,Male,Adult,Maui-Nui,photos-5005-5005.jpg,89997281-f5c1-4dbd-ad24-46c1da8c7a80,532,5005
533_Female_Unknown_Maui-Nui.jpg,533,Female,Unknown,Maui-Nui,photos-5010-5010.jpg,8a6bc257-b990-4031-a309-791ae3370030,533,5010
536_Female_Unknown_Maui-Nui.jpg,536,Female,Unknown,Maui-Nui,photos-5059-5059.jpg,1ebc6c8a-ba03-4d60-9596-7dc582c3f636,536,5059
537_Female_Unknown_Maui-Nui.jpg,537,Female,Unknown,Maui-Nui,photos-5028-5028.jpg,fb306a47-b9c9-46be-bb81-5728daca3f80,537,5028
539_Female_Unknown_Maui-Nui.jpg,539,Female,Unknown,Maui-Nui,photos-5032-5032.jpg,803d034a-034e-4d4d-9877-3363d711bdf2,539,5032
540_Unknown_Unknown_Maui-Nui.jpg,540,Unknown,Unknown,Maui-Nui,photos-5036-5036.jpg,4d21a041-f3e6-4050-90a7-66b51cb6b2b8,540,5036
541_Female_Juvenile_Maui-Nui.jpg,541,Female,Juvenile,Maui-Nui,photos-5043-5043.jpg,64a98287-61a7-48b6-b7bb-cd2969e4476b,541,5043
542_Female_Unknown_Maui-Nui.jpg,542,Female,Unknown,Maui-Nui,photos-5041-5041.jpg,df88f282-196f-4af4-99d8-aed533e851b7,542,5041
543_Male_Juvenile_Maui-Nui.jpg,543,Male,Juvenile,Maui-Nui,photos-5044-5044.jpg,44ea44cb-1668-42c7-89d2-9af106b34942,543,5044
544_Female_Unknown_Maui-Nui.jpg,544,Female,Unknown,Maui-Nui,photos-5046-5046.jpg,580b9fac-b357-4a1b-9ffe-eb12a30f0aa1,544,5046
545_Unknown_Unknown_Maui-Nui.jpg,545,Unknown,Unknown,Maui-Nui,photos-5047-5047.jpg,c6b36919-243c-4396-957d-9d0bb34c6d2d,545,5047
546_Female_Unknown_Maui-Nui.jpg,546,Female,Unknown,Maui-Nui,photos-5052-5052.jpg,28f3c080-16fd-4b82-b0e5-1b7ab58ca0aa,546,5052
547_Female_Unknown_Maui-Nui.jpg,547,Female,Unknown,Maui-Nui,photos-5054-5054.jpg,1586a299-206a-4910-93cb-4663b71bef13,547,5054
548_Unknown_Unknown_Maui-Nui.jpg,548,Unknown,Unknown,Maui-Nui,photos-5057-5057.jpg,ae0b108d-83bd-4baa-b54b-eac3a10948fa,548,5057
549_Unknown_Unknown_Maui-Nui.jpg,549,Unknown,Unknown,Maui-Nui,photos-5058-5058.jpg,36095bc0-1b41-4031-ae5c-328266d67717,549,5058
551_Female_Juvenile_Maui-Nui.jpg,551,Female,Juvenile,Maui-Nui,photos-5061-5061.jpg,75bebf75-a383-4b42-8206-c9a409d7e8df,551,5061
552_Female_Unknown_Maui-Nui.jpg,552,Female,Unknown,Maui-Nui,photos-5067-5067.jpg,20f77f51-9c52-4a2e-8eba-fbb9fce3ab07,552,5067
556_Male_Adult_Maui-Nui.jpg,556,Male,Adult,Maui-Nui,photos-5138-5138.jpg,78215525-f83d-4f4f-a79f-4403f433a167,556,5138
557_Female_unknown_Maui-Nui.jpg,557,Female,unknown,Maui-Nui,photos-5077-5077.jpg,16b69cec-b11e-4b1f-8305-a4b68aa8a91c,557,5077
559_Female_unknown_Maui-Nui.jpg,559,Female,unknown,Maui-Nui,photos-5079-5079.jpg,a8a79162-72ec-43b8-8cd7-a31aebb1702a,559,5079
560_Female_unknown_Maui-Nui.jpg,560,Female,unknown,Maui-Nui,photos-5081-5081.jpg,46d44bf2-dad6-4d90-bbe9-d35e9524d39f,560,5081
561_Female_unknown_Maui-Nui.jpg,561,Female,unknown,Maui-Nui,photos-5080-5080.jpg,d6502390-78ae-48b3-b971-e684e59eef00,561,5080
